Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Gender_Male,Gender_Other,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_UK,Country_USA,Signup_Quarter_Q2,Signup_Quarter_Q3,Signup_Quarter_Q4
43.0,2.9,14.0,27.4,6.0,50.6,3.0,9.0,94.72,34.0,46.4,2.0,17.9,9.0,4.0,16.3,20.8,1.0,953.33,2278.0,0,True,False,False,True,False,False,False,False,False,False,False,False
56.0,2.6,10.0,38.4,14.8,41.7,9.0,15.0,147.33,47.0,44.1,5.4,41.4,2.0,5.0,85.9,31.0,3.0,2340.92,2674.0,0,False,False,False,False,False,False,False,False,True,False,False,False
35.0,3.5,6.0,21.9,6.9,74.4,0.0,12.0,190.97,29.0,60.2,11.0,16.0,8.0,2.0,14.3,11.2,2.0,1995.43,2418.0,1,True,False,False,False,False,False,True,False,False,False,False,False
56.0,1.9,24.0,46.4,13.9,36.2,5.0,20.0,169.58,10.0,27.8,5.5,35.5,4.0,6.0,68.8,42.9,5.0,3003.57,2657.0,0,True,False,False,False,True,False,False,False,False,False,False,False
32.0,0.9,0.0,12.3,2.9,73.5,0.0,5.0,118.0,23.0,46.2,5.1,0.0,11.0,2.0,17.0,8.0,1.0,599.41,498.0,1,True,False,False,False,False,False,False,True,False,True,False,False
32.0,0.6,11.0,12.1,5.6,77.2,0.0,5.0,78.88,36.0,72.0,4.8,4.0,7.0,1.0,0.0,17.7,2.0,335.92,1369.0,1,False,False,False,False,True,False,False,False,False,False,True,False
18.0,3.7,14.0,33.5,10.3,48.4,2.0,15.0,123.0,8.0,40.0,3.7,16.1,6.0,4.0,28.3,23.3,3.0,1618.51,3624.0,0,False,False,False,True,False,False,False,False,False,False,False,False
31.0,1.4,24.0,50.8,18.0,44.0,5.0,18.0,91.92,55.0,83.8,2.5,45.0,4.0,5.0,81.6,26.5,1.0,1692.54,2564.0,0,False,False,False,False,False,False,False,False,True,False,True,False
25.0,0.9,4.0,12.4,3.7,68.5,1.0,4.0,116.39,78.0,42.6,7.0,0.0,9.0,1.0,0.0,15.5,1.0,503.26,1048.0,0,False,False,True,False,False,False,False,False,False,False,True,False
27.0,2.0,0.0,20.3,9.8,59.8,2.0,11.0,103.12,5.0,6.5,18.6,12.5,4.0,0.0,3.4,17.5,3.0,1096.88,54.0,0,False,False,False,False,False,True,False,False,False,True,False,False
55.0,1.2,24.0,50.3,16.0,25.2,9.0,24.0,108.52,4.0,33.0,11.6,72.1,1.0,5.0,76.7,37.8,1.0,3063.29,4561.0,0,False,False,False,False,False,True,False,False,False,False,False,False
38.0,2.7,30.0,45.1,10.7,29.6,6.0,22.1,144.17,8.0,25.8,1.6,14.8,5.0,6.0,40.8,27.5,1.0,2051.85,4088.0,0,True,False,False,False,False,False,True,False,False,False,False,True
