Feature,Correlation_With_Churn,Impact_Type
Customer_Service_Calls,0.2878,Churn Driver (+)
Cart_Abandonment_Rate,0.2513,Churn Driver (+)
Days_Since_Last_Purchase,0.1523,Churn Driver (+)
Average_Order_Value,0.0566,Churn Driver (+)
Returns_Rate,0.0492,Churn Driver (+)
Lifetime_Value,0.0183,Churn Driver (+)
Payment_Method_Diversity,0.0096,Churn Driver (+)
Membership_Years,-0.0008,Retention Driver (-)
Discount_Usage_Rate,-0.0831,Retention Driver (-)
Age,-0.1169,Retention Driver (-)
Total_Purchases,-0.1382,Retention Driver (-)
Credit_Balance,-0.14,Retention Driver (-)
Product_Reviews_Written,-0.1585,Retention Driver (-)
Social_Media_Engagement_Score,-0.1657,Retention Driver (-)
Wishlist_Items,-0.1673,Retention Driver (-)
Login_Frequency,-0.1776,Retention Driver (-)
Email_Open_Rate,-0.1929,Retention Driver (-)
Mobile_App_Usage,-0.1942,Retention Driver (-)
Pages_Per_Session,-0.2016,Retention Driver (-)
Session_Duration_Avg,-0.2104,Retention Driver (-)
