Customer_Service_Calls,Cart_Abandonment_Bin,Total_Customers,Churned_Customers,Avg_LTV,Churn_Rate
0.0,Very Low,117,12,2732.5730769230768,0.1026
0.0,Low,40,5,2147.3915,0.125
0.0,Medium,15,1,1564.0226666666667,0.0667
0.0,High,6,1,1280.9266666666667,0.1667
0.0,Very High,3,1,1045.1033333333335,0.3333
1.0,Very Low,321,31,2405.6065420560744,0.0966
1.0,Low,143,17,2119.0745454545454,0.1189
1.0,Medium,89,10,1679.6325842696629,0.1124
1.0,High,47,5,1284.0034042553193,0.1064
1.0,Very High,26,6,1102.1234615384615,0.2308
2.0,Very Low,571,57,2480.7270928196144,0.0998
2.0,Low,306,18,1901.859836601307,0.0588
2.0,Medium,241,22,1677.5935684647302,0.0913
2.0,High,155,24,1376.5483225806452,0.1548
2.0,Very High,93,30,1231.2078494623656,0.3226
3.0,Very Low,650,67,2280.0253076923077,0.1031
3.0,Low,489,41,1735.3627402862985,0.0838
3.0,Medium,376,43,1478.0994680851065,0.1144
3.0,High,307,51,1313.0355700325733,0.1661
3.0,Very High,221,73,1102.4071040723982,0.3303
4.0,Very Low,621,60,2136.977938808374,0.0966
4.0,Low,612,63,1737.1843790849675,0.1029
4.0,Medium,493,51,1528.7488032454362,0.1034
4.0,High,437,62,1258.8286498855834,0.1419
4.0,Very High,376,134,1069.7573936170213,0.3564
5.0,Very Low,473,45,2042.0969133192389,0.0951
5.0,Low,607,65,1712.7869851729818,0.1071
5.0,Medium,563,70,1431.859023090586,0.1243
5.0,High,527,78,1220.501669829222,0.148
5.0,Very High,475,204,968.6267789473684,0.4295
6.0,Very Low,369,192,2030.6327642276422,0.5203
6.0,Low,487,183,1659.9958521560575,0.3758
6.0,Medium,564,164,1410.538989361702,0.2908
6.0,High,568,166,1222.2813732394366,0.2923
6.0,Very High,531,281,935.7100753295668,0.5292
7.0,Very Low,234,113,1913.941282051282,0.4829
7.0,Low,372,150,1637.4279569892471,0.4032
7.0,Medium,441,124,1343.1057142857144,0.2812
7.0,High,512,144,1162.33447265625,0.2812
7.0,Very High,506,283,917.0756126482214,0.5593
8.0,Very Low,121,60,1759.21347107438,0.4959
8.0,Low,252,70,1500.3052777777777,0.2778
8.0,Medium,322,108,1372.0529813664596,0.3354
8.0,High,423,147,1102.5064066193854,0.3475
8.0,Very High,442,256,893.9910407239819,0.5792
9.0,Very Low,69,35,1847.0740579710146,0.5072
9.0,Low,136,40,1474.218088235294,0.2941
9.0,Medium,199,62,1350.8010552763817,0.3116
9.0,High,270,91,1042.6418888888888,0.337
9.0,Very High,340,224,892.8076176470589,0.6588
10.0,Very Low,44,23,1721.4375,0.5227
10.0,Low,88,27,1388.65125,0.3068
10.0,Medium,139,36,1286.9958273381296,0.259
10.0,High,165,65,1084.1689696969697,0.3939
10.0,Very High,247,172,834.0851821862349,0.6964
11.0,Very Low,14,7,2041.6928571428573,0.5
11.0,Low,42,8,1176.6730952380954,0.1905
11.0,Medium,80,23,1273.10075,0.2875
11.0,High,95,39,957.048,0.4105
11.0,Very High,138,89,937.0208695652175,0.6449
12.0,Very Low,2,1,1258.57,0.5
12.0,Low,24,6,1331.7391666666665,0.25
12.0,Medium,37,15,1070.9721621621622,0.4054
12.0,High,50,21,1068.75,0.42
12.0,Very High,77,54,811.6627272727272,0.7013
13.0,Very Low,2,0,597.575,0.0
13.0,Low,11,5,1820.89,0.4545
13.0,Medium,22,3,1176.3204545454546,0.1364
13.0,High,20,8,1053.8625,0.4
13.0,Very High,50,38,873.2308,0.76
14.0,Very Low,1,0,1488.73,0.0
14.0,Low,4,1,1329.2825,0.25
14.0,Medium,8,2,630.355,0.25
14.0,High,6,6,1361.2466666666667,1.0
14.0,Very High,20,16,877.1754999999999,0.8
15.0,Very Low,2,1,1709.66,0.5
15.0,Low,1,0,1429.18,0.0
15.0,Medium,5,0,1244.792,0.0
15.0,High,4,1,1008.7049999999999,0.25
15.0,Very High,13,12,856.4061538461539,0.9231
16.0,Very Low,0,0,,
16.0,Low,1,1,629.53,1.0
16.0,Medium,1,1,740.31,1.0
16.0,High,2,2,397.33000000000004,1.0
16.0,Very High,5,5,1697.2920000000001,1.0
17.0,Very Low,0,0,,
17.0,Low,0,0,,
17.0,Medium,0,0,,
17.0,High,1,0,1064.33,0.0
17.0,Very High,2,2,746.965,1.0
18.0,Very Low,0,0,,
18.0,Low,0,0,,
18.0,Medium,0,0,,
18.0,High,0,0,,
18.0,Very High,1,1,617.55,1.0
19.0,Very Low,0,0,,
19.0,Low,0,0,,
19.0,Medium,0,0,,
19.0,High,0,0,,
19.0,Very High,1,1,537.78,1.0
